id,label,tweet
14,1,user cnn calls ; michigan : middle school 'build the ? wall' ; chant '' ; tcot  
14,1,user cnn calls michigan middle school 'build the wall' chant '' tcot  
15,1,no . comment!  in australia ;   opkillingbay seashepherd : helpcovedolphins thecove  helpcovedolphins
15,1,no comment!  in australia   opkillingbay seashepherd helpcovedolphins thecove  helpcovedolphins
18,1,! retweet if you agree! ! 
18,1,retweet if you agree! 
24,1,user user lumpy says i am a . prove it . lumpy.
24,1,user user lumpy says i am a . prove it lumpy.
35,1,it's ; unbelievable that in the 2st . century we'd need ! something like ; this. again. . neverump  xenophobia ? 
35,1,it's unbelievable that in the 2st century we'd need something like this. again. neverump  xenophobia 
57,1,user lets fight : against !  love ; peace 
57,1,user lets fight against  love peace 
69,1,the . white establishment can't have blk folx running around : loving themselves and . promoting our greatness .  
69,1,the white establishment can't have blk folx running around loving themselves and promoting our greatness  
78,1,; user ! hey white people: you can call ; people 'white' by user  race  identity med
78,1,user hey white people: you can call people 'white' by user  race  identity med
83,1,how the altright uses  &amp; insecurity to lure men into whitesupremacy   :  
83,1,how the altright uses  &amp; insecurity to lure men into whitesupremacy    
112,1,user i'm not interested in a linguistics that . doesn't address race &amp; . racism is about power. raciolinguistics brings
112,1,user i'm not interested in a linguistics that doesn't address race &amp; . racism is about power. raciolinguistics brings
115,1,user ? why not user mocked obama for being black.  user user user user brexit
115,1,user why not user mocked obama for being black.  user user user user brexit
132,1,people aren't protesting ! trump because a republican won-they do so because ; trump ! has fuhered  : &amp; 
132,1,people aren't protesting trump because a republican won-they do so because trump has fuhered  &amp; 
152,1,: yes it's  when you call michelleobama a gorilla : because racists have long thought of black people as no bet 
152,1,yes it's  when you call michelleobama a gorilla because racists have long thought of black people as no bet 
157,1,as the smaller hands ! show barry ; probably ? lied about  being why his : knicks game : sucked more than ! his golf ; 
157,1,as the smaller hands show barry probably lied about  being why his knicks game sucked more than his golf 
168,1,: user user you point ; one finger . user millions : are pointed right back at you  jewishsupremacist
168,1,user user you point one finger user millions are pointed right back at you  jewishsupremacist
193,1,you ! might be ! a libtard if... libtard ;  . sjw liberal politics 
193,1,you might be a libtard if... libtard  sjw liberal politics 
211,1,user ! take out the trash america...  - i ? voted against hate . - i voted against  - i ; voted . against  ; - i ? vot 
211,1,user take out the trash america...  - i voted against hate - i voted against  - i voted against  - i vot 
233,1,if you hold open a door for a woman because she's a woman and : not because it's a nice thing to do ; that's . don't even try to deny it
233,1,if you hold open a door for a woman because she's a woman and not because it's a nice thing to do that's . don't even try to deny it
264,1,; user this man ran for governor of ? ny : the state with the biggest african-american population    
264,1,user this man ran for governor of ny the state with the biggest african-american population    
265,1,stereotyping prejudice :  offer ; no hope or solutions but create the same old repetitive hate conflict ! 
265,1,stereotyping prejudice  offer no hope or solutions but create the same old repetitive hate conflict 
270,1,how manypols passed by how many times and said nothing?   bluelivesmatter draintheswamp !  ferguson  
270,1,how manypols passed by how many times and said nothing?   bluelivesmatter draintheswamp  ferguson  
314,1,. 7 horribly ;  ads from 2 that made us cringe 
314,1,7 horribly  ads from 2 that made us cringe 
322,1,"user : ""the dying ! of the ! light""  village green/town²  antisemitism hocoschools ! columbiamd ; hocomd"
322,1,"user ""the dying of the light""  village green/town²  antisemitism hocoschools columbiamd hocomd"
333,1,user you never answered me : about your ; statement ; on the nazi's over . hatred ;  &amp; bigotry being ? found w ! 
333,1,user you never answered me about your statement on the nazi's over hatred  &amp; bigotry being found w 
355,1,you might : be a libtard if... libtard  : sjw liberal politics 
355,1,you might be a libtard if... libtard  sjw liberal politics 
363,1,trump ny co-chair . makes racist remarks . about michelle ; obama :  . p2 p2 fyi  tcot
363,1,trump ny co-chair makes racist remarks about michelle obama  p2 p2 fyi  tcot
375,1,user the pic says otherwise for young girls confined in that kitchen. you are : void of meaning beyond cheap publicity topoli 
375,1,user the pic says otherwise for young girls confined in that kitchen. you are void of meaning beyond cheap publicity topoli 
406,1,user when you're blocked by ; a  troll ? because you promise to  blacklivesmatter &amp; let his : nonsensical rants boos 
406,1,user when you're blocked by a  troll because you promise to  blacklivesmatter &amp; let his nonsensical rants boos 
426,1,why the nazis ! studied american race laws for inspiration   ushistory  eugenics
426,1,why the nazis studied american race laws for inspiration   ushistory  eugenics
433,1,user biherism absolutely originated in hateful  . bigotry altright hatred of our african american : potus theresistance
433,1,user biherism absolutely originated in hateful  bigotry altright hatred of our african american potus theresistance
444,1,: fo . woh officer in viral arrest video was rude not ; racist: ? chief  : crime officer 
444,1,fo woh officer in viral arrest video was rude not racist: chief  crime officer 
487,1,discussing republicans is the same thing ? as critiquing ! . . we ; can't . ignore the consequences.
487,1,discussing republicans is the same thing as critiquing . we can't ignore the consequences.
499,1,are you black &amp; feel ; like the  are stomping on you?   retweet tampa miami 
499,1,are you black &amp; feel like the  are stomping on you?   retweet tampa miami 
516,1,user ! allahsoil the more ? familiar we become the ? more difficult it is to stereotype. .   
516,1,user allahsoil the more familiar we become the more difficult it is to stereotype. .   
527,1,! anti racist is ; a codeword for antiwhite   asia for ! the asians ;  africa for the africans  white countries for : everyon . 
527,1,anti racist is a codeword for antiwhite   asia for the asians  africa for the africans  white countries for everyon 
532,1,user you praised cleveland police during rnc the police are : under a consent ; decree! 75% are ; white  tamirrice rip
532,1,user you praised cleveland police during rnc the police are under a consent decree! 75% are white  tamirrice rip
545,1,! user ; that doesn't prevent you from being a :  ! and a bigot
545,1,user that doesn't prevent you from being a  and a bigot
551,1, girls in the world sexy mature ! housewife 
551,1, girls in the world sexy mature housewife 
559,1,. user i ! don't like the blacklivesmatter slogan.  talk about . being ; .
559,1,user i don't like the blacklivesmatter slogan.  talk about being .
570,1,user feminismiscancer feminismisterrorism ? feminismmuktbharat why ;  ! malevote is ignored :  user
570,1,user feminismiscancer feminismisterrorism feminismmuktbharat why  malevote is ignored  user
572,1,fox ! new ? just ; coming out and : saying it bluntly. one of : the ? most  things i've read. 
572,1,fox new just coming out and saying it bluntly. one of the most  things i've read. 
580,1,user . yes : lets . do thissuppoing a . openly prowar anti islamichomophobicrapistwho advocates more of samehypocrite
580,1,user yes lets do thissuppoing a openly prowar anti islamichomophobicrapistwho advocates more of samehypocrite
610,1,!  ; porn vids wwwsmallgirlsexcom
610,1, porn vids wwwsmallgirlsexcom
618,1,the latest obsidian radio ! daily! !  thanks to user user user :  latesnews
618,1,the latest obsidian radio daily!  thanks to user user user  latesnews
622,1,you might be ; a libtard if... libtard  ; sjw liberal politics 
622,1,you might be a libtard if... libtard  sjw liberal politics 
623,1, just ! more ! overwhelming evidence that the company trump keeps echoes his sentiments &amp; ideals dumptrump 
623,1, just more overwhelming evidence that the company trump keeps echoes his sentiments &amp; ideals dumptrump 
650,1,"""nigger?"" lifelessons of ? a white kid who grew up in the 's. blogpost  whitepeople respect "
650,1,"""nigger?"" lifelessons of a white kid who grew up in the 's. blogpost  whitepeople respect "
693,1,carolyn ! cooper : | ugly poor ignorant and black!  
693,1,carolyn cooper | ugly poor ignorant and black!  
734,1,user . no he was definitely a .  mexican. fakenewsale
734,1,user no he was definitely a  mexican. fakenewsale
736,1,standing up ! to ! racism ! and hate by americad not curse ! out congress . and all haters :  who are . deplorable  hate 
736,1,standing up to racism and hate by americad not curse out congress and all haters  who are deplorable  hate 
747,1,: user trump used . hate  and putin to win the white house trump presses attack on ! khan family : and g.o.p. : leaders 
747,1,user trump used hate  and putin to win the white house trump presses attack on khan family and g.o.p. leaders 
750,1,everytime i ; wear soccer shis joie . fries ! me and says i look mexican as fuck  ! 
750,1,everytime i wear soccer shis joie fries me and says i look mexican as fuck  
764,1,the ; danger of white liberalism to oveurning  (applies to liberal men and ? feminism too)  
764,1,the danger of white liberalism to oveurning  (applies to liberal men and feminism too)  
772,1,great aicle. right on . the money! ; starspangledbanner slavery apaheid  usa 
772,1,great aicle. right on the money! starspangledbanner slavery apaheid  usa 
781,1,user thank you!! the power of social media!   user . aande 
781,1,user thank you!! the power of social media!   user aande 
791,1,user and you keep telling that . only aryans : are allowed to rape women! you're just a  ? troll! eod user user
791,1,user and you keep telling that only aryans are allowed to rape women! you're just a  troll! eod user user
794,1,user any minute trump will condemn the  vile ! bigoted comments . of ? his surrogate carlpaladino endhate 
794,1,user any minute trump will condemn the  vile bigoted comments of his surrogate carlpaladino endhate 
796,1,user allahsoil vps ! got multi-million dollar bonuses while : average americans : lost their homes.   
796,1,user allahsoil vps got multi-million dollar bonuses while average americans lost their homes.   
803,1,25 : jan. interested in how discrimination and  has affected the criminal justice system? 
803,1,25 jan. interested in how discrimination and  has affected the criminal justice system? 
805,1,keep up the ! opposition ! to  . user endthenation
805,1,keep up the opposition to  user endthenation
812,1,i guess user is talking about progress in ? the advancement . of  misogyny homophobia bigotry
812,1,i guess user is talking about progress in the advancement of  misogyny homophobia bigotry
816,1,. user jake is . right 2 . many ? ppl lack ! the will power to take a stand ; &amp; drown the small ! minded &amp; oft evil tendencies of past ! 
816,1,user jake is right 2 many ppl lack the will power to take a stand &amp; drown the small minded &amp; oft evil tendencies of past 
827,1,user .user is : it . possible for you ? to ? speak in any topic without ? bringing race into it you ? bigot? user  . 
827,1,user .user is it possible for you to speak in any topic without bringing race into it you bigot? user  
832,1,: rushlimbaugh does his : incredibly  ! obama impression. ;  via user
832,1,rushlimbaugh does his incredibly  obama impression.  via user
861,1,! black professor makes assumptions about an entire race whilst speaking for entire : race. ; next week the jews! 
861,1,black professor makes assumptions about an entire race whilst speaking for entire race. next week the jews! 
864,1,trumpusa when ! they call us :  ;  homophobic misogynist they are really saying they are jealous of us w 
864,1,trumpusa when they call us   homophobic misogynist they are really saying they are jealous of us w 
880,1,i liked ! a user ! video from user  sjw retard wants more !
880,1,i liked a user video from user  sjw retard wants more !
890,1,user msg of hope for . newyear: : a business : to end . ; endof2 tedtalks tedatibm user .  ! user
890,1,user msg of hope for newyear: a business to end . endof2 tedtalks tedatibm user  user
913,1,user non stop : election  i blame cspan for hiding  for 8 years 2 pittsburgh california 
913,1,user non stop election  i blame cspan for hiding  for 8 years 2 pittsburgh california 
917,1,people aren't protesting trump because a republican won-they do . so because trump has fuhered  &amp; 
917,1,people aren't protesting trump because a republican won-they do so because trump has fuhered  &amp; 
934,1, is not an ; opinion. racism is degrading people based on race to justify discrimination or open violence ? against them. stopracism
934,1, is not an opinion. racism is degrading people based on race to justify discrimination or open violence against them. stopracism
980,1,user allahsoil the next best seller book! isis ? islam 2in4worlds ; 2in4words terrorists gwot  
980,1,user allahsoil the next best seller book! isis islam 2in4worlds 2in4words terrorists gwot  
985,1,user : don't forget ; user ; - research shows that sexist men have : psychological problems. tuckercarlson 
985,1,user don't forget user - research shows that sexist men have psychological problems. tuckercarlson 
988,1,"""no ! im not attracted to asian ppl bc ! im not asian""  what if i tell you no im not attracted to u bc im not (inse race here) hoe !   "
988,1,"""no im not attracted to asian ppl bc im not asian""  what if i tell you no im not attracted to u bc im not (inse race here) hoe   "
995,1,who defines ?: historically ; oppressed or historic oppressors/privileged
995,1,who defines ?: historically oppressed or historic oppressors/privileged
1003,1,the ; latest the ; volatile daily!  thanks to user : user user ?  space
1003,1,the latest the volatile daily!  thanks to user user user  space
1007,1,"user ! radicalism ! shouldn't ? be countered with ; . : terrorists see us as inhumans but we ""the free"" can't judge by color"
1007,1,"user radicalism shouldn't be countered with . terrorists see us as inhumans but we ""the free"" can't judge by color"
1040,1,user user but look how ? passionate they are about ivankatrump on the plane. which was fake. yet ignore adamsaleh. ra
1040,1,user user but look how passionate they are about ivankatrump on the plane. which was fake. yet ignore adamsaleh. ra
1048,1,todays  donkey zionazi is proud of murdering real palestinian . semitic children - thats what i call ? 
1048,1,todays  donkey zionazi is proud of murdering real palestinian semitic children - thats what i call 
1080,1,user the fn is seeking to rid of its anti-semitic xenophobic image but majority of its sympathisers still ? describe the 
1080,1,user the fn is seeking to rid of its anti-semitic xenophobic image but majority of its sympathisers still describe the 
1109,1,user ; all happy for ; Ã¨ ! lbgt : familybut what i don't get ! is the incessant but ! thin veiled ;  against other gay minorities?
1109,1,user all happy for Ã¨ lbgt familybut what i don't get is the incessant but thin veiled  against other gay minorities?
1117,1,. no 'racist intent'? ! is this guy joking? !  via user  trump barackobama ? michelleobama
1117,1,no 'racist intent'? is this guy joking?  via user  trump barackobama michelleobama
1137,1,how quebec's humanrights : &amp; justice system fail to protect ! victims ? of . police   : user user ! 
1137,1,how quebec's humanrights &amp; justice system fail to protect victims of police   user user 
1156,1,user : i would have never guessed ; i . would ! be so disappointed . in a ? city.  berlin 
1156,1,user i would have never guessed i would be so disappointed in a city.  berlin 
1171,1,this how  ? works in ! uk. : if i'd been white &amp; those politician impoed : thieves black they'd investigate &amp; prosecute. returnmyvinyl 
1171,1,this how  works in uk. if i'd been white &amp; those politician impoed thieves black they'd investigate &amp; prosecute. returnmyvinyl 
1208,1,; the latest ! the maryland daily!  thanks to ? user . user chrismukkah 
1208,1,the latest the maryland daily!  thanks to user user chrismukkah 
1215,1,"also keyboard : is  when i type ! ""cause coopting terrorists"" ; reg syria it : autocorrects to : ""cause : colored terrorists"""
1215,1,"also keyboard is  when i type ""cause coopting terrorists"" reg syria it autocorrects to ""cause colored terrorists"""
1242,1,user although i am not a .  a bigot or a misogynist so i hope : that : i ; still qualify. . keepyoureyesontheprize-mlk
1242,1,user although i am not a  a bigot or a misogynist so i hope that i still qualify. keepyoureyesontheprize-mlk
1245,1,user what ! america owes : blacks    africanamerican ; reparations ! now
1245,1,user what america owes blacks    africanamerican reparations now
1248,1,. if potus ? were white he'd still ; be the ; worst president ever and most likely the ; most :  president ever. ? trump israel happynewyear
1248,1,if potus were white he'd still be the worst president ever and most likely the most  president ever. trump israel happynewyear
1252,1,decolonizing the curriculum: the only way through the process is together - !  decolonization 
1252,1,decolonizing the curriculum: the only way through the process is together -  decolonization 
1275,1, is a very profitable thing im . america 
1275,1, is a very profitable thing im america 
1318,1,this. treasonoustrump unsatisfied with his whiteisis  terrorism . has moved ; into nuclear ? terror in ! a . new ; 
1318,1,this. treasonoustrump unsatisfied with his whiteisis  terrorism has moved into nuclear terror in a new 
1337,1,yay! except ellen ! made  comments so should ; we : be suppoing her? if you ! say kimburrell made homo-resistant 
1337,1,yay! except ellen made  comments so should we be suppoing her? if you say kimburrell made homo-resistant 
1347,1,user newyear! new prez. new destruction. ; new commercials. new !new order! new tweets. new poopin. ! new kids on t
1347,1,user newyear! new prez. new destruction. new commercials. new !new order! new tweets. new poopin. new kids on t
1367,1,! user user user because we have been ! shuckin'andjivin for ; the  democraticpay that only want our vote!
1367,1,user user user because we have been shuckin'andjivin for the  democraticpay that only want our vote!
1375,1,if you didn't like  or hitler : you're definitely ; not ! going : to . like traitor. trump
1375,1,if you didn't like  or hitler you're definitely not going to like traitor. trump
1383,1,! just . because you liberals are self-loathing doesn't ? mean the rest of ! us ; are. : the only weapon . you have is to yell 
1383,1,just because you liberals are self-loathing doesn't mean the rest of us are. the only weapon you have is to yell 
1393,1,user buffalo school districts boots trump . ally over racist comments. birdsofafeather  resist  : 
1393,1,user buffalo school districts boots trump ally over racist comments. birdsofafeather  resist  : 
1394,1,user : user dear versace: wont ; buy . more if there s  in yur retail ; sign pissedoffitalian
1394,1,user user dear versace: wont buy more if there s  in yur retail sign pissedoffitalian
1401,1,user pay of rich ; white .  : snobs  . via user tcot tpc
1401,1,user pay of rich white  snobs  via user tcot tpc
1410,1,user ultimately a : joke from early 2 that i wish i didn't have to : tell. i also wish it didn't do as well as ; it did 
1410,1,user ultimately a joke from early 2 that i wish i didn't have to tell. i also wish it didn't do as well as it did 
1412,1,shot ; inside a pussy  office woman ? 
1412,1,shot inside a pussy  office woman 
1447,1,"user do we need . a different ; word altogether ? that ; defines ""/hatred against whites and/or men"" . just to satisfy hateful ppl like . her?"
1447,1,"user do we need a different word altogether that defines ""/hatred against whites and/or men"" just to satisfy hateful ppl like her?"
1457,1,? user : feminismiscancer feminismisterrorism . feminismmuktbharat . why  malevote is ignored  user
1457,1,user feminismiscancer feminismisterrorism feminismmuktbharat why  malevote is ignored  user
1464,1,tyler perry claims reverse : racism . by critics of his ! tlc series tyler perry claims reverse  critics 
1464,1,tyler perry claims reverse racism by critics of his tlc series tyler perry claims reverse  critics 
1480,1,smh i cant : take ! these one sided ! standards 
1480,1,smh i cant take these one sided standards 
1486,1,user user  get your own ; house in . order 2 when . you ; returning stolen land  ! hypocrite .  liar ! inhumane 
1486,1,user user  get your own house in order 2 when you returning stolen land  hypocrite  liar inhumane 
1492,1,psa: in the age of information ? the true ethnicity of ? biblical people has ; caused ; an overlap of  . and 
1492,1,psa: in the age of information the true ethnicity of biblical people has caused an overlap of  and 
1505,1,user just coz their ? is a few of these : vids dont mean ; they are not woh : wotching they are ; there ? hilarious a must watc 
1505,1,user just coz their is a few of these vids dont mean they are not woh wotching they are there hilarious a must watc 
1526,1,sikh ? temple ! vandalised in in calgary wso : condemns  act  
1526,1,sikh temple vandalised in in calgary wso condemns  act  
1542,1,user allahsoil not all muslims hate ? america.    emiratis ? 2in4words 
1542,1,user allahsoil not all muslims hate america.    emiratis 2in4words 
1543,1,"user ! i felt that ; lawrence fishburn was . added as the ""magical negro"" hollywood stereotypes : are made ; of!  user"
1543,1,"user i felt that lawrence fishburn was added as the ""magical negro"" hollywood stereotypes are made of!  user"
1554,1,user feds provide inadequate mentalhealth care for firstnations: internal memo  thirdworldcanada . 
1554,1,user feds provide inadequate mentalhealth care for firstnations: internal memo  thirdworldcanada 
1565,1,user user : &amp; the  ! democraticpay ; keeps telling me that blm but i see chicago ! detroit &amp; every other inn
1565,1,user user &amp; the  democraticpay keeps telling me that blm but i see chicago detroit &amp; every other inn
1572,1,get over it the world . keeps ! spinning . 
1572,1,get over it the world keeps spinning . 
1584,1, user  user own team up with new mc user . &amp; show what phillysuppophilly &amp; combat .  
1584,1, user  user own team up with new mc user &amp; show what phillysuppophilly &amp; combat  
1587,1,if talking about ?  makes racism worst with that logic talking . about how talking about racism makes it worst . makes it ! worst.
1587,1,if talking about  makes racism worst with that logic talking about how talking about racism makes it worst makes it worst.
1597,1,? user allahsoil the problem . is that ? theres ! no space for ! alternative explanations.   
1597,1,user allahsoil the problem is that theres no space for alternative explanations.   
1603,1,paul beloy: .  is still an issue at varying levels in belgian : football  user 
1603,1,paul beloy:  is still an issue at varying levels in belgian football  user 
1634,1, ? it isn't  to target illegals and/or criminals. it's just plain . commonsense.  user user ? user
1634,1, it isn't  to target illegals and/or criminals. it's just plain commonsense.  user user user
1670,1,lying user and his : disingenuous excuses for  deviant remarks about michelle &amp; barackobama: 
1670,1,lying user and his disingenuous excuses for  deviant remarks about michelle &amp; barackobama: 
1673,1,! bullshit he was thrown out for being a ! muslim !   
1673,1,bullshit he was thrown out for being a muslim   
1710,1,hope to . see you at the show !   feminist reproductiverights bihcontrol 
1710,1,hope to see you at the show   feminist reproductiverights bihcontrol 
1718,1,user : you might be : a libtard if... libtard  sjw liberal ; politics 
1718,1,user you might be a libtard if... libtard  sjw liberal politics 
1742,1,hillaryclinton calls me ?   ! homophobic misogynist she really means she . is : jealous user .  wh 
1742,1,hillaryclinton calls me   homophobic misogynist she really means she is jealous user  wh 
1743,1,i wanna be fucked !  my id ;  3479   ; meet me ; here   ?  
1743,1,i wanna be fucked !  my id  3479   meet me here    
1752,1,user no liberal ; believes ! that. we ! are the : pay of inclusivity who . believes in equality for all ; anywhere. you are a tra 
1752,1,user no liberal believes that. we are the pay of inclusivity who believes in equality for all anywhere. you are a tra 
1761,1,this newyearsevemay our resolutions b 2 ! end problems like  &amp; domesticviolence by turning 2 god of love 
1761,1,this newyearsevemay our resolutions b 2 end problems like  &amp; domesticviolence by turning 2 god of love 
1769,1,"japan ! abe government is mere puppet of ; ultra rightist group ""è(japan conference)"" fascism  guardian nytimes bbc afp rsf"
1769,1,"japan abe government is mere puppet of ultra rightist group ""è(japan conference)"" fascism  guardian nytimes bbc afp rsf"
1780,1,user i thought alt-right secretly meant white nationalist : altright !  : maga 
1780,1,user i thought alt-right secretly meant white nationalist altright  maga 
1784,1,user  no hitler ; comparisons?
1784,1,user  no hitler comparisons?
1803,1,user ! homegrown rightie white americans are  times more ? likely to harm you than a refugee.  fear
1803,1,user homegrown rightie white americans are  times more likely to harm you than a refugee.  fear
1859,1,you ? black &amp; ! feel ; like ? the  : are stomping on you? listen  retweet tampa miami 
1859,1,you black &amp; feel like the  are stomping on you? listen  retweet tampa miami 
1861,1,you . might be a libtard if... libtard  : sjw liberal politics ! 
1861,1,you might be a libtard if... libtard  sjw liberal politics 
1869,1,? in academia yehtut : offers more nuanced take on rohingya dvbmultimediagroup yehtut is  &amp; 
1869,1,in academia yehtut offers more nuanced take on rohingya dvbmultimediagroup yehtut is  &amp; 
1893,1,; user malia shake that ass! you so fine!.....pass the blunt 
1893,1,user malia shake that ass! you so fine!.....pass the blunt 
1895,1,: gop will fail : on anti-morality platform. ?  
1895,1,gop will fail on anti-morality platform.  
1913,1,if you look at a problem and the ; first thing you thing of is color be it black or white. you're pa of . the : problem 
1913,1,if you look at a problem and the first thing you thing of is color be it black or white. you're pa of the problem 
1935,1, names for ; women ; fucking ! hard teen 
1935,1, names for women fucking hard teen 
1940,1,user i agree ! that hrc wouldnt have won the popularvote w/o ca. much : in same way trump wouldnt . win ! w/o the  
1940,1,user i agree that hrc wouldnt have won the popularvote w/o ca. much in same way trump wouldnt win w/o the  
1943,1, chick gets fucked nude superhero ? 
1943,1, chick gets fucked nude superhero 
1946,1, ; sex ? free sex hotline numbers
1946,1, sex free sex hotline numbers
1950,1,just some trump suppoers voicing their thoughts on : women's : suffrage and germany's immigration policy...  
1950,1,just some trump suppoers voicing their thoughts on women's suffrage and germany's immigration policy...  
1998,1,user riyadh is renowned for some of the deadliest traffic in : the world.       27in3words . 
1998,1,user riyadh is renowned for some of the deadliest traffic in the world.       27in3words 
2006,1,! user why the ! electoralcollege : elects  presidents trump notmypresident ? newswithed 
2006,1,user why the electoralcollege elects  presidents trump notmypresident newswithed 
2015,1,user user needs to ; fire . user &amp; the dumb ; mfer that hired his  genocide promoting ass! don't ? hire their : graduates!
2015,1,user user needs to fire user &amp; the dumb mfer that hired his  genocide promoting ass! don't hire their graduates!
2024,1,"user ""people of colour do not . enjoy equality . within the lgbtq community;they are an excludedmarginalised group."" "
2024,1,"user ""people of colour do not enjoy equality within the lgbtq community;they are an excludedmarginalised group."" "
2045,1,user seriously  lede. come on user ? you . can do better. 
2045,1,user seriously  lede. come on user you can do better. 
2088,1,user user for hate crimes watch the  arabs ; in user user ; never seen so much hate ; against the poor like in this
2088,1,user user for hate crimes watch the  arabs in user user never seen so much hate against the poor like in this
2089,1, people spit on the face of god | meditations for the   cnn foxnews . christians conservative christ
2089,1, people spit on the face of god | meditations for the   cnn foxnews christians conservative christ
2098,1,user  user argentine ; women ? protest facebook's ? sexist ; censorship rules ? eg 2.  censorship freethenipple 
2098,1,user  user argentine women protest facebook's sexist censorship rules eg 2.  censorship freethenipple 
2111,1,what the heck this is so mean!!! !  please : silence : racism! bully ?  ! 
2111,1,what the heck this is so mean!!!  please silence racism! bully  
2119,1,user allahsoil the crusader west vs. : islamic terrorism ; is a popular sequel to capitalism vs. communism. 
2119,1,user allahsoil the crusader west vs. islamic terrorism is a popular sequel to capitalism vs. communism. 
2127,1,: show me your tits idiot! 
2127,1,show me your tits idiot! 
2131,1,: this : is disgusting grandmother grandsons  ;  exist already 
2131,1,this is disgusting grandmother grandsons   exist already 
2156,1,: you might be a libtard if... libtard .  sjw ! liberal politics ? 
